"train_acc","val_acc"
"0.38342","0.4012"
"0.3834","0.4072"
"0.37934","0.3852"
"0.3779","0.3914"
"0.3831","0.3484"
"0.37622","0.3678"
"0.37902","0.3406"
"0.3763","0.3796"
"0.37488","0.369"
"0.37424","0.3518"
"0.37104","0.372"
"0.3709","0.3548"
"0.36882","0.3406"
"0.36796","0.3402"
"0.36676","0.3872"
"0.36636","0.3702"
"0.36458","0.3566"
"0.3648","0.3238"
"0.36356","0.3596"
"0.36618","0.3892"
"0.36204","0.3318"
"0.36446","0.3834"
"0.36068","0.3398"
"0.3505","0.3602"
"0.35404","0.3128"
"0.35198","0.367"
"0.34878","0.3524"
"0.3571","0.3708"
"0.35466","0.3186"
"0.35122","0.3396"
